,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
0,2,1,0.8,1,N,249,158,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,4
1,1,1,6.1,1,N,264,264,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,27
2,1,1,0.8,1,N,107,107,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,7
3,2,1,2.56,1,N,237,170,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,14
4,1,1,17.7,2,N,132,90,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,43
5,1,1,1.2,1,N,137,186,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8,12
6,1,1,6.8,1,N,48,87,1,23.0,0.5,0.5,1.0,0.0,0.3,25.3,25
7,1,4,1.0,1,N,158,114,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,9
8,2,1,5.81,1,N,161,88,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,19
9,1,1,17.8,2,N,132,148,1,52.0,0.0,0.5,15.8,0.0,0.3,68.6,31
10,1,2,4.9,1,N,144,263,1,16.5,0.5,0.5,3.55,0.0,0.3,21.35,17
11,2,1,7.32,1,N,211,24,2,25.0,0.5,0.5,0.0,0.0,0.3,26.3,25
12,2,5,1.23,1,N,141,170,1,6.0,0.5,0.5,1.1,0.0,0.3,8.4,5
13,1,1,1.8,1,N,68,246,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,12
14,1,1,0.5,1,N,144,114,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,5
15,2,1,1.28,1,N,226,226,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56,7
16,2,1,1.01,1,N,237,236,1,5.0,0.5,0.5,1.58,0.0,0.3,7.88,3
17,2,1,0.74,1,N,48,50,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,3
18,2,2,0.78,1,N,238,24,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,3
19,1,1,4.4,1,N,161,7,1,15.0,0.5,0.5,4.85,0.0,0.3,21.15,14
20,2,3,0.38,1,N,142,142,1,3.5,0.5,0.5,1.44,0.0,0.3,6.24,2
21,2,1,0.87,1,N,231,125,1,5.0,0.5,0.5,1.58,0.0,0.3,7.88,4
22,1,2,0.6,1,N,79,114,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,5
23,2,2,1.89,1,N,237,239,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,8
24,2,1,0.4,1,N,262,262,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,1
25,2,1,1.68,1,N,238,236,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,9
26,1,2,0.4,1,N,236,236,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75,1
27,1,1,1.5,1,N,142,161,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,9
28,1,1,0.3,1,N,234,170,1,6.5,0.5,0.5,1.17,0.0,0.3,8.97,8
29,2,1,3.66,1,N,79,88,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96,8
30,2,2,0.71,1,N,142,239,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,3
31,2,1,6.57,4,N,132,265,1,21.5,0.5,0.5,5.7,0.0,0.3,28.5,13
32,2,5,8.15,1,N,132,135,1,23.5,0.5,0.5,4.96,0.0,0.3,29.76,16
33,2,1,3.0,1,N,239,75,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,15
34,2,1,0.83,1,N,244,244,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,4
35,1,1,0.0,1,N,186,68,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,3
