,vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,location
0,1,2018-12-31T23:59:21.000,2019-01-01T00:11:11.000,1,2.9,1,N,179,145,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,Noida Sec-68
1,2,2018-12-31T23:59:20.000,2019-01-01T00:09:59.000,6,3.52,1,N,50,41,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,Noida Sec-17
2,1,2018-12-31T23:59:16.000,2019-01-01T00:16:53.000,1,1.8,1,N,170,68,1,12.5,0.5,0.5,1.0,0.0,0.3,14.8,Noida Sec-5
3,1,2018-12-31T23:59:15.000,2019-01-01T00:03:07.000,1,0.6,1,N,264,264,1,5.0,0.5,0.5,2.25,0.0,0.3,8.55,Noida Sec-30
4,2,2018-12-31T23:59:13.000,2019-01-01T00:02:37.000,1,0.32,1,N,158,249,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,Noida Sec-24
5,2,2018-12-31T23:59:12.000,2019-01-01T00:08:49.000,1,3.61,1,N,151,48,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,Noida Sec-32
6,1,2018-12-31T23:59:11.000,2019-01-01T00:03:38.000,1,0.8,1,N,264,264,1,5.0,0.5,0.5,1.55,0.0,0.3,7.85,Noida Sec-30
7,2,2018-12-31T23:59:08.000,2019-01-01T00:34:57.000,1,18.73,2,N,132,114,1,52.0,0.0,0.5,8.78,5.76,0.3,67.34,Noida Sec-8
8,1,2018-12-31T23:59:07.000,2019-01-01T00:29:39.000,1,9.1,1,N,48,127,1,33.0,0.5,0.5,10.0,0.0,0.3,44.3,Noida Sec-6
9,2,2018-12-31T23:59:03.000,2019-01-01T00:09:29.000,2,2.22,1,N,24,236,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,Noida Sec-66
10,1,2018-12-31T23:59:02.000,2019-01-01T00:06:17.000,1,0.7,1,N,142,50,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,Noida Sec-1
11,1,2018-12-31T23:59:01.000,2019-01-01T00:18:15.000,1,3.4,1,N,238,229,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,Noida Sec-15
12,2,2018-12-31T23:59:00.000,2019-01-01T00:23:24.000,5,3.59,1,N,161,68,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,Noida Sec-3
