,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
0,2,1,1.34,1,N,238,236,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,15
1,2,1,1.34,1,N,238,236,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,15
2,2,1,0.32,1,N,238,238,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,3
3,2,1,0.32,1,N,238,238,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,3
4,2,1,1.85,1,N,236,238,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,13
5,2,1,1.85,1,N,236,238,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,13
6,2,1,1.65,1,N,68,237,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,18
7,2,1,1.65,1,N,68,237,2,12.5,0.0,0.5,0.0,0.0,0.3,13.3,18
8,2,1,1.07,1,N,170,68,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,12
9,2,1,1.07,1,N,170,68,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,12
10,2,1,1.3,1,N,107,170,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,7
11,2,1,1.3,1,N,107,170,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,7
12,2,1,1.85,1,N,113,137,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,12
13,2,1,1.85,1,N,113,137,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8,12
14,2,1,0.62,1,N,231,231,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,4
15,2,1,0.62,1,N,231,231,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3,4
16,2,1,0.0,1,N,264,264,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,2,1,0.29,1,N,162,162,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,3
18,2,1,0.29,1,N,162,162,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,3
19,2,1,1.34,1,N,239,151,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,6
20,2,1,2.99,1,N,170,143,1,15.0,0.5,0.5,1.7,0.0,0.3,18.0,21
21,2,1,2.99,1,N,170,143,1,15.0,0.5,0.5,1.7,0.0,0.3,18.0,21
22,2,4,23.21,1,N,132,228,2,62.0,0.5,0.5,0.0,0.0,0.3,63.3,32
23,2,1,1.44,1,N,236,237,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8,9
24,2,1,1.69,1,N,141,236,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8,14
25,2,4,4.47,1,N,162,80,1,17.5,0.5,0.5,4.91,5.76,0.3,29.47,20
26,2,1,11.51,1,N,148,244,1,34.5,0.5,0.5,0.0,0.0,0.3,35.8,159
27,2,2,0.85,1,N,161,43,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8,4
28,2,2,3.14,1,N,163,246,2,20.0,1.0,0.5,0.0,0.0,0.3,21.8,439
29,2,1,0.0,1,N,193,193,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
30,2,1,4.62,1,N,50,231,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8,20
31,2,1,2.44,1,N,90,50,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,8
32,2,1,16.71,1,N,143,138,1,45.5,0.0,0.5,10.41,5.76,0.3,62.47,26
